code,abos_description,orthopedic_subsection,status,wrvu_status,wrvu_missing_reason,work_rvu,total_rvu,global_period_days,estimated_medicare_payment,cms_source_file
25260,"Repair, tendon or muscle, flexor, forearm and/or wrist; primary, single, each tendon or muscle",Forearm/Wrist,newly_added,verified,,7.84,17.94,90,599.21,PPRRVU2026_Jul_nonQPP.csv
25263,"Repair, tendon or muscle, flexor, forearm and/or wrist; secondary, single, each tendon or muscle",Forearm/Wrist,newly_added,verified,,7.84,18.2,90,607.9,PPRRVU2026_Jul_nonQPP.csv
25265,"Repair, tendon or muscle, flexor, forearm and/or wrist; secondary, with free graft (includes obtaining graft), each tendon or muscle",Forearm/Wrist,newly_added,verified,,9.85,20.6,90,688.06,PPRRVU2026_Jul_nonQPP.csv
25270,"Repair, tendon or muscle, extensor, forearm and/or wrist; primary, single, each tendon or muscle",Forearm/Wrist,newly_added,verified,,6.02,14.1,90,470.95,PPRRVU2026_Jul_nonQPP.csv
25272,"Repair, tendon or muscle, extensor, forearm and/or wrist; secondary, single, each tendon or muscle",Forearm/Wrist,newly_added,verified,,7.03,16.04,90,535.75,PPRRVU2026_Jul_nonQPP.csv
25274,"Repair, tendon or muscle, extensor, forearm and/or wrist; secondary, with free graft (includes obtaining graft), each tendon or muscle",Forearm/Wrist,newly_added,verified,,8.72,18.44,90,615.91,PPRRVU2026_Jul_nonQPP.csv
25275,"Repair, tendon sheath, extensor, forearm and/or wrist, with free graft (includes obtaining graft) (eg, for extensor carpi ulnaris subluxation)",Forearm/Wrist,newly_added,verified,,8.74,18.68,90,623.93,PPRRVU2026_Jul_nonQPP.csv
25320,"Capsulorrhaphy or reconstruction, wrist, open (eg, capsulodesis, ligament repair, tendon transfer or graft) (includes synovectomy, capsulotomy and open reduction) for carpal instability",Forearm/Wrist,newly_added,verified,,12.43,27.77,90,927.54,PPRRVU2026_Jul_nonQPP.csv
25337,"Reconstruction for stabilization of unstable distal ulna or distal radioulnar joint, secondary by soft tissue stabilization (eg, tendon transfer, tendon graft or weave, or tenodesis) with or without open reduction of distal radioulnar joint",Forearm/Wrist,newly_added,verified,,11.44,24.8,90,828.34,PPRRVU2026_Jul_nonQPP.csv
25431,"Repair of nonunion of carpal bone (excluding carpal scaphoid (navicular)) (includes obtaining graft and necessary fixation), each bone",Forearm/Wrist,newly_added,verified,,10.62,22.12,90,738.83,PPRRVU2026_Jul_nonQPP.csv
25440,"Repair of nonunion, scaphoid carpal (navicular) bone, with or without radial styloidectomy (includes obtaining graft and necessary fixation)",Forearm/Wrist,newly_added,verified,,10.41,21.1,90,704.76,PPRRVU2026_Jul_nonQPP.csv
25515,"Open treatment of radial shaft fracture, incudes internal fixation, when performed",Forearm/Wrist,already_present,verified,,8.58,18.98,90,633.95,PPRRVU2026_Jul_nonQPP.csv
25525,"Open treatment of radial shaft fracture, incudes internal fixation, when performed, and closed treatment of distal radioulnar joint dislocation (Galeazzi fracture/dislocation), includes percutaneous skeletal fixation, when performed",Forearm/Wrist,already_present,verified,,10.29,22.06,90,736.82,PPRRVU2026_Jul_nonQPP.csv
25526,"Open treatment of radial shaft fracture, incudes internal fixation, when performed, and open treatment of distal radioulnar joint dislocation (Galeazzi fracture/dislocation), incudes internal fixation, when performed, includes repair of triangular fibrocartilage complex",Forearm/Wrist,already_present,verified,,12.82,26.8,90,895.14,PPRRVU2026_Jul_nonQPP.csv
25545,"Open treatment of ulnar shaft fracture, incudes internal fixation, when performed",Forearm/Wrist,already_present,verified,,7.74,17.81,90,594.87,PPRRVU2026_Jul_nonQPP.csv
25574,"Open treatment of radial AND ulnar shaft fractures, with internal fixation, when performed; of radius OR ulna",Forearm/Wrist,already_present,verified,,8.58,19.19,90,640.96,PPRRVU2026_Jul_nonQPP.csv
25575,"Open treatment of radial AND ulnar shaft fractures, with internal fixation, when performed; of radius AND ulna",Forearm/Wrist,already_present,verified,,11.98,25.32,90,845.71,PPRRVU2026_Jul_nonQPP.csv
25606,Percutaneous skeletal fixation of distal radial fracture or epiphyseal separation,Forearm/Wrist,already_present,verified,,8.1,19.21,90,641.63,PPRRVU2026_Jul_nonQPP.csv
25607,"Open treatment of distal radial extra-articular fracture or epiphyseal separation, with internal fixation",Forearm/Wrist,already_present,verified,,9.32,20.88,90,697.41,PPRRVU2026_Jul_nonQPP.csv
25608,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 2 fragments,Forearm/Wrist,already_present,verified,,10.79,23.11,90,771.89,PPRRVU2026_Jul_nonQPP.csv
25609,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 3 or more fragments,Forearm/Wrist,already_present,verified,,14.02,28.99,90,968.29,PPRRVU2026_Jul_nonQPP.csv
25628,"Open treatment of carpal scaphoid (navicular) fracture, includes internal fixation, when performed",Forearm/Wrist,already_present,verified,,9.43,20.03,90,669.02,PPRRVU2026_Jul_nonQPP.csv
25645,"Open treatment of carpal bone fracture (other than carpal scaphoid [navicular]), each bone",Forearm/Wrist,already_present,verified,,7.23,16.35,90,546.1,PPRRVU2026_Jul_nonQPP.csv
25651,Percutaneous skeletal fixation of ulnar styloid fracture,Forearm/Wrist,newly_added,verified,,5.67,14.18,90,473.62,PPRRVU2026_Jul_nonQPP.csv
25652,Open treatment of ulnar styloid fracture,Forearm/Wrist,newly_added,verified,,7.86,17.69,90,590.86,PPRRVU2026_Jul_nonQPP.csv
25670,"Open treatment of radiocarpal or intercarpal dislocation, 1 or more bones",Forearm/Wrist,newly_added,verified,,7.89,17.37,90,580.17,PPRRVU2026_Jul_nonQPP.csv
25671,Percutaneous skeletal fixation of distal radioulnar dislocation,Forearm/Wrist,newly_added,verified,,6.3,15.65,90,522.72,PPRRVU2026_Jul_nonQPP.csv
25676,"Open treatment of distal radioulnar dislocation, acute or chronic",Forearm/Wrist,newly_added,verified,,8.08,17.82,90,595.2,PPRRVU2026_Jul_nonQPP.csv
25685,Open treatment of trans-scaphoperilunar type of fracture dislocation,Forearm/Wrist,newly_added,verified,,9.84,20.7,90,691.4,PPRRVU2026_Jul_nonQPP.csv
25695,Open treatment of lunate dislocation,Forearm/Wrist,newly_added,verified,,8.3,17.99,90,600.88,PPRRVU2026_Jul_nonQPP.csv
26010,Drainage of finger abscess; simple,Hand/Fingers,already_present,verified,,1.55,11.23,10,375.09,PPRRVU2026_Jul_nonQPP.csv
26011,"Drainage of finger abscess; complicated (eg, felon)",Hand/Fingers,already_present,verified,,2.18,15.48,10,517.05,PPRRVU2026_Jul_nonQPP.csv
26020,"Drainage of tendon sheath, digit and/or palm, each",Hand/Fingers,already_present,verified,,6.67,15.93,90,532.08,PPRRVU2026_Jul_nonQPP.csv
26025,"Drainage of palmar bursa; single, bursa",Hand/Fingers,already_present,verified,,4.95,12.11,90,404.48,PPRRVU2026_Jul_nonQPP.csv
26030,Drainage of palmar bursa; multiple bursa,Hand/Fingers,already_present,verified,,6.09,13.95,90,465.94,PPRRVU2026_Jul_nonQPP.csv
26037,"Decompressive fasciotomy, hand (excludes 26035)",Hand/Fingers,already_present,verified,,7.38,15.78,90,527.07,PPRRVU2026_Jul_nonQPP.csv
26055,"Tendon sheath incision (eg, for trigger finger)",Hand/Fingers,already_present,verified,,3.03,18.85,90,629.61,PPRRVU2026_Jul_nonQPP.csv
26060,"Tenotomy, percutaneous, single, each digit",Hand/Fingers,already_present,verified,,2.84,7.29,90,243.49,PPRRVU2026_Jul_nonQPP.csv
26070,"Arthrotomy, with exploration, drainage, or removal of loose or foreign body; carpometacarpal joint",Hand/Fingers,already_present,verified,,3.71,9.37,90,312.97,PPRRVU2026_Jul_nonQPP.csv
26075,"Arthrotomy, with exploration, drainage, or removal of loose or foreign body; metacarpophalangeal joint, each",Hand/Fingers,already_present,verified,,3.81,9.88,90,330.0,PPRRVU2026_Jul_nonQPP.csv
26080,"Arthrotomy, with exploration, drainage, or removal of loose or foreign body; interphalangeal joint, each",Hand/Fingers,already_present,verified,,4.36,11.61,90,387.78,PPRRVU2026_Jul_nonQPP.csv
26185,"Sesamoidectomy, thumb or finger (separate procedure)",Hand/Fingers,already_present,verified,,6.36,16.39,90,547.44,PPRRVU2026_Jul_nonQPP.csv
26320,Removal of implant from finger or hand,Hand/Fingers,already_present,verified,,4,10.11,90,337.68,PPRRVU2026_Jul_nonQPP.csv
26356,"Repair or advancement, flexor tendon, in zone 2 digital flexor tendon sheath (eg, no man's land); primary, without free graft, each tendon",Hand/Fingers,already_present,verified,,9.32,22.56,90,753.52,PPRRVU2026_Jul_nonQPP.csv
26357,"Repair or advancement, flexor tendon, in zone 2 digital flexor tendon sheath (eg, no man's land); secondary, without free graft, each tendon",Hand/Fingers,already_present,verified,,10.73,25.55,90,853.39,PPRRVU2026_Jul_nonQPP.csv
26358,"Repair or advancement, flexor tendon, in zone 2 digital flexor tendon sheath (eg, no man's land); secondary, with free graft (includes obtaining graft), each tendon",Hand/Fingers,already_present,verified,,12.29,27.94,90,933.22,PPRRVU2026_Jul_nonQPP.csv
26370,"Repair or advancement of profundus tendon, with intact superficialis tendon; primary, each tendon",Hand/Fingers,already_present,verified,,7.1,22.75,90,759.87,PPRRVU2026_Jul_nonQPP.csv
26372,"Repair or advancement of profundus tendon, with intact superficialis tendon; secondary with free graft (includes obtaining graft), each tendon",Hand/Fingers,already_present,verified,,8.78,26.88,90,897.82,PPRRVU2026_Jul_nonQPP.csv
26373,"Repair or advancement of profundus tendon, with intact superficialis tendon; secondary without free graft, each tendon",Hand/Fingers,already_present,verified,,8.2,26,90,868.42,PPRRVU2026_Jul_nonQPP.csv
26426,"Repair of extensor tendon, central slip, secondary (eg, boutonniere deformity); using local tissue(s), including lateral band(s), each finger",Hand/Fingers,already_present,verified,,6.16,14.25,90,475.96,PPRRVU2026_Jul_nonQPP.csv
26428,"Repair of extensor tendon, central slip, secondary (eg, boutonniere deformity); with free graft (includes obtaining graft), each finger",Hand/Fingers,already_present,verified,,7.22,23.63,90,789.26,PPRRVU2026_Jul_nonQPP.csv
26433,"Repair of extensor tendon, distal insertion, primary or secondary; without graft (eg, mallet finger)",Hand/Fingers,already_present,verified,,4.58,17,90,567.82,PPRRVU2026_Jul_nonQPP.csv
26434,"Repair of extensor tendon, distal insertion, primary or secondary; with free graft (includes obtaining graft)",Hand/Fingers,already_present,verified,,6.1,20.76,90,693.4,PPRRVU2026_Jul_nonQPP.csv
26437,"Realignment of extensor tendon, hand, each tendon",Hand/Fingers,already_present,verified,,5.84,19.45,90,649.65,PPRRVU2026_Jul_nonQPP.csv
26500,"Reconstruction of tendon pulley, each tendon; with local tissues (separate procedure)",Hand/Fingers,already_present,verified,,5.98,20.57,90,687.06,PPRRVU2026_Jul_nonQPP.csv
26502,"Reconstruction of tendon pulley, each tendon; with tendon or fascial graft (includes obtaining graft)",Hand/Fingers,already_present,verified,,7.13,22.31,90,745.17,PPRRVU2026_Jul_nonQPP.csv
26540,"Repair of collateral ligament, metacarpophalangeal or interphalangeal joint",Hand/Fingers,already_present,verified,,6.44,20.34,90,679.37,PPRRVU2026_Jul_nonQPP.csv
