source,specialty,code,modifier,description,site_wrvu,cms_work_rvu,cms_status_indicator,cms_year,cms_source_filename,match_status,recommended_action,path_hint
index.html:SPECS,General Surgery,47600,,Open cholecystectomy,13.55,17.04,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 17.04 and stamp CMS year/source,General Surgery[58]
index.html:SPECS,General Surgery,49002,,Reopening recent laparotomy,17.56,17.19,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 17.19 and stamp CMS year/source,General Surgery[59]
index.html:SPECS,General Surgery,43280,,Lap hiatal hernia repair / Nissen fundoplication,17.96,17.65,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 17.65 and stamp CMS year/source,General Surgery[60]
index.html:SPECS,General Surgery,43281,,Lap paraesophageal hernia repair,16.25,25.94,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 25.94 and stamp CMS year/source,General Surgery[61]
index.html:SPECS,General Surgery,43282,,Lap paraesophageal hernia repair with mesh,16.25,29.35,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 29.35 and stamp CMS year/source,General Surgery[62]
index.html:SPECS,General Surgery,49421,,"Peritoneal dialysis catheter placement, tunneled intraperitoneal",7.5,4.10,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 4.10 and stamp CMS year/source,General Surgery[64]
index.html:SPECS,General Surgery,49422,,Peritoneal dialysis catheter removal,4.5,3.90,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.90 and stamp CMS year/source,General Surgery[65]
index.html:SPECS,General Surgery,11426,,Excision scalp lipoma / benign scalp lesion 2.1-3.0 cm,4.25,3.99,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.99 and stamp CMS year/source,General Surgery[66]
index.html:SPECS,General Surgery,21931,,"Excision soft tissue lesion / lipoma, back or flank, subcutaneous <3 cm",5.4,6.71,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 6.71 and stamp CMS year/source,General Surgery[67]
index.html:SPECS,General Surgery,21932,,"Excision soft tissue lesion / lipoma, back or flank, subcutaneous 3 cm or greater",7.1,9.57,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 9.57 and stamp CMS year/source,General Surgery[68]
index.html:SPECS,General Surgery,22902,,"Excision soft tissue lesion / lipoma, anterior abdominal wall, subcutaneous <3 cm",5.1,4.31,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 4.31 and stamp CMS year/source,General Surgery[69]
index.html:SPECS,General Surgery,22903,,"Excision soft tissue lesion / lipoma, anterior abdominal wall, subcutaneous 3 cm or greater",6.8,6.23,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 6.23 and stamp CMS year/source,General Surgery[70]
index.html:SPECS,General Surgery,24071,,"Excision soft tissue lesion / lipoma, upper arm or elbow, subcutaneous <3 cm",5.2,5.56,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 5.56 and stamp CMS year/source,General Surgery[71]
index.html:SPECS,General Surgery,24073,,"Excision soft tissue lesion / lipoma, upper arm or elbow, subcutaneous 3 cm or greater",6.9,9.88,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 9.88 and stamp CMS year/source,General Surgery[72]
index.html:SPECS,General Surgery,27327,,"Excision soft tissue lesion / lipoma, thigh or knee area, subcutaneous <3 cm",5.6,3.86,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.86 and stamp CMS year/source,General Surgery[73]
index.html:SPECS,General Surgery,27328,,"Excision soft tissue lesion / lipoma, thigh or knee area, subcutaneous 3 cm or greater",7.3,8.63,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 8.63 and stamp CMS year/source,General Surgery[74]
index.html:SPECS,General Surgery,11404,,Excision epidermal inclusion cyst / benign trunk or extremity lesion 3.1-4.0 cm,4.9,2.06,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.06 and stamp CMS year/source,General Surgery[75]
index.html:SPECS,General Surgery,44140,,Open sigmoid colectomy with anastomosis,22.96,22.03,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 22.03 and stamp CMS year/source,General Surgery[76]
index.html:SPECS,General Surgery,44204,,Lap/robotic sigmoid colectomy with anastomosis,22.91,25.76,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 25.76 and stamp CMS year/source,General Surgery[77]
index.html:SPECS,General Surgery,44139,,Open mobilization of splenic flexure,4.5,2.17,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.17 and stamp CMS year/source,General Surgery[78]
index.html:SPECS,General Surgery,44213,,Laparoscopic mobilization of the splenic flexure,4.5,3.41,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.41 and stamp CMS year/source,General Surgery[79]
index.html:SPECS,General Surgery,43644,,Lap gastric bypass,25.54,28.67,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 28.67 and stamp CMS year/source,General Surgery[80]
index.html:SPECS,General Surgery,10021,,Fine needle aspiration without imaging guidance,0.98,1.00,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.00 and stamp CMS year/source,General Surgery[81]
index.html:SPECS,General Surgery,10040,,"Acne surgery, comedones/cysts/pustules",0.76,0.89,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 0.89 and stamp CMS year/source,General Surgery[82]
index.html:SPECS,General Surgery,10060,,Incision and drainage of abscess; simple or single,2.05,1.19,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.19 and stamp CMS year/source,General Surgery[83]
index.html:SPECS,General Surgery,10080,,Incision and drainage of pilonidal cyst; simple,2.75,1.19,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.19 and stamp CMS year/source,General Surgery[84]
index.html:SPECS,General Surgery,10081,,"I&D pilonidal cyst, complicated",3.97,2.44,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.44 and stamp CMS year/source,General Surgery[85]
index.html:SPECS,General Surgery,10120,,"Incision, removal of foreign body, subcutaneous",2.25,1.19,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.19 and stamp CMS year/source,General Surgery[86]
index.html:SPECS,General Surgery,10121,,"Incision, removal of foreign body, subcutaneous, complicated",4.36,2.67,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.67 and stamp CMS year/source,General Surgery[87]
index.html:SPECS,General Surgery,10160,,Puncture aspiration of abscess/hematoma/bulla/cyst,1.33,1.22,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.22 and stamp CMS year/source,General Surgery[88]
index.html:SPECS,General Surgery,10180,,I&D of complex postoperative wound infection,3.84,2.24,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.24 and stamp CMS year/source,General Surgery[89]
index.html:SPECS,General Surgery,11423,,"Excision, benign lesion including margins, scalp/neck/hands/feet/genitalia; 2.1 to 3.0 cm",3.85,2.01,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.01 and stamp CMS year/source,General Surgery[90]
index.html:SPECS,General Surgery,11440,,"Excision, benign lesion including margins, face/ears/eyelids/nose/lips; 0.5 cm or less",2.35,1.02,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.02 and stamp CMS year/source,General Surgery[91]
index.html:SPECS,General Surgery,11441,,"Excision, benign lesion including margins, face/ears/eyelids/nose/lips; 0.6 to 1.0 cm",2.88,1.49,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.49 and stamp CMS year/source,General Surgery[92]
index.html:SPECS,General Surgery,11442,,"Excision, benign lesion including margins, face/ears/eyelids/nose/lips; 1.1 to 2.0 cm",3.65,1.73,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.73 and stamp CMS year/source,General Surgery[93]
index.html:SPECS,General Surgery,11443,,"Excision, benign lesion including margins, face/ears/eyelids/nose/lips; 2.1 to 3.0 cm",4.52,2.28,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.28 and stamp CMS year/source,General Surgery[94]
index.html:SPECS,General Surgery,11444,,"Excision, benign lesion including margins, face/ears/eyelids/nose/lips; 3.1 to 4.0 cm",5.48,3.11,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.11 and stamp CMS year/source,General Surgery[95]
index.html:SPECS,General Surgery,11446,,"Excision, benign lesion including margins, face/ears/eyelids/nose/lips; over 4.0 cm",6.95,4.68,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 4.68 and stamp CMS year/source,General Surgery[96]
index.html:SPECS,General Surgery,11600,,"Excision, malignant lesion including margins, trunk/extremity; 0.5 cm or less",2.18,1.59,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.59 and stamp CMS year/source,General Surgery[97]
index.html:SPECS,General Surgery,11601,,"Excision, malignant lesion including margins, trunk/extremity; 0.6 to 1.0 cm",2.65,2.02,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.02 and stamp CMS year/source,General Surgery[98]
index.html:SPECS,General Surgery,11602,,"Excision, malignant lesion including margins, trunk/extremity; 1.1 to 2.0 cm",3.25,2.21,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.21 and stamp CMS year/source,General Surgery[99]
index.html:SPECS,General Surgery,11603,,"Excision, malignant lesion including margins, trunk/extremity; 2.1 to 3.0 cm",3.95,2.75,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.75 and stamp CMS year/source,General Surgery[100]
index.html:SPECS,General Surgery,11604,,"Excision, malignant lesion including margins, trunk/extremity; 3.1 to 4.0 cm",4.88,3.09,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.09 and stamp CMS year/source,General Surgery[101]
index.html:SPECS,General Surgery,11606,,"Excision, malignant lesion including margins, trunk/extremity; over 4.0 cm",6.25,4.89,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 4.89 and stamp CMS year/source,General Surgery[102]
index.html:SPECS,General Surgery,11620,,"Excision, malignant lesion including margins, scalp/neck/hands/feet/genitalia; 0.5 cm or less",2.48,1.60,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.60 and stamp CMS year/source,General Surgery[103]
index.html:SPECS,General Surgery,11621,,"Excision, malignant lesion including margins, scalp/neck/hands/feet/genitalia; 0.6 to 1.0 cm",3.12,2.03,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.03 and stamp CMS year/source,General Surgery[104]
index.html:SPECS,General Surgery,11622,,"Excision, malignant lesion including margins, scalp/neck/hands/feet/genitalia; 1.1 to 2.0 cm",3.85,2.35,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.35 and stamp CMS year/source,General Surgery[105]
index.html:SPECS,General Surgery,11623,,"Excision, malignant lesion including margins, scalp/neck/hands/feet/genitalia; 2.1 to 3.0 cm",4.75,3.03,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.03 and stamp CMS year/source,General Surgery[106]
index.html:SPECS,General Surgery,11624,,"Excision, malignant lesion including margins, scalp/neck/hands/feet/genitalia; 3.1 to 4.0 cm",5.88,3.53,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.53 and stamp CMS year/source,General Surgery[107]
index.html:SPECS,General Surgery,11626,,"Excision, malignant lesion including margins, scalp/neck/hands/feet/genitalia; over 4.0 cm",7.55,4.49,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 4.49 and stamp CMS year/source,General Surgery[108]
index.html:SPECS,General Surgery,11640,,"Excision, malignant lesion including margins, face/ears/eyelids/nose/lips; 0.5 cm or less",2.88,1.63,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.63 and stamp CMS year/source,General Surgery[109]
index.html:SPECS,General Surgery,11641,,"Excision, malignant lesion including margins, face/ears/eyelids/nose/lips; 0.6 to 1.0 cm",3.65,2.12,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.12 and stamp CMS year/source,General Surgery[110]
index.html:SPECS,General Surgery,11642,,"Excision, malignant lesion including margins, face/ears/eyelids/nose/lips; 1.1 to 2.0 cm",4.52,2.55,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.55 and stamp CMS year/source,General Surgery[111]
index.html:SPECS,General Surgery,11643,,"Excision, malignant lesion including margins, face/ears/eyelids/nose/lips; 2.1 to 3.0 cm",5.65,3.33,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.33 and stamp CMS year/source,General Surgery[112]
index.html:SPECS,General Surgery,11644,,"Excision, malignant lesion including margins, face/ears/eyelids/nose/lips; 3.1 to 4.0 cm",6.95,4.23,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 4.23 and stamp CMS year/source,General Surgery[113]
index.html:SPECS,General Surgery,11646,,"Excision, malignant lesion including margins, face/ears/eyelids/nose/lips; over 4.0 cm",9.15,6.10,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 6.10 and stamp CMS year/source,General Surgery[114]
index.html:SPECS,General Surgery,11770,,Excision of pilonidal cyst or sinus; simple,5.85,2.59,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.59 and stamp CMS year/source,General Surgery[115]
index.html:SPECS,General Surgery,12005,,"Simple repair, scalp/neck/axillae/trunk/extremities, 12.6-20.0 cm",2.93,1.92,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.92 and stamp CMS year/source,General Surgery[116]
index.html:SPECS,General Surgery,12006,,"Simple repair, scalp/neck/axillae/trunk/extremities, 20.1-30.0 cm",3.33,2.33,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.33 and stamp CMS year/source,General Surgery[117]
index.html:SPECS,General Surgery,12007,,"Simple repair, scalp/neck/axillae/trunk/extremities, >30.0 cm",4.04,2.83,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.83 and stamp CMS year/source,General Surgery[118]
index.html:SPECS,General Surgery,12011,,"Simple repair, face/ears/eyelids/nose/lips/mucous, 2.5 cm or less",1.81,1.04,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.04 and stamp CMS year/source,General Surgery[119]
index.html:SPECS,General Surgery,12013,,"Simple repair, face/ears/eyelids/nose/lips, 2.6-5.0 cm",2.17,1.19,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.19 and stamp CMS year/source,General Surgery[120]
index.html:SPECS,General Surgery,12014,,"Simple repair, face/ears/eyelids/nose/lips, 5.1-7.5 cm",2.49,1.53,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.53 and stamp CMS year/source,General Surgery[121]
index.html:SPECS,General Surgery,12015,,"Simple repair, face/ears/eyelids/nose/lips, 7.6-12.5 cm",3.09,1.93,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.93 and stamp CMS year/source,General Surgery[122]
index.html:SPECS,General Surgery,12016,,"Simple repair, face/ears/eyelids/nose/lips, 12.6-20.0 cm",3.69,2.61,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.61 and stamp CMS year/source,General Surgery[123]
index.html:SPECS,General Surgery,12017,,"Simple repair, face/ears/eyelids/nose/lips, 20.1-30.0 cm",4.14,3.10,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.10 and stamp CMS year/source,General Surgery[124]
index.html:SPECS,General Surgery,12018,,"Simple repair, face/ears/eyelids/nose/lips, >30.0 cm",4.73,3.52,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.52 and stamp CMS year/source,General Surgery[125]
index.html:SPECS,General Surgery,12032,,"Intermediate repair, scalp/trunk/extremities, 2.6-7.5 cm",2.93,2.46,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.46 and stamp CMS year/source,General Surgery[126]
index.html:SPECS,General Surgery,12034,,"Intermediate repair, scalp/trunk/extremities, 7.6-12.5 cm",3.48,2.90,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.90 and stamp CMS year/source,General Surgery[127]
index.html:SPECS,General Surgery,12035,,"Intermediate repair, scalp/trunk/extremities, 12.6-20.0 cm",4.26,3.41,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.41 and stamp CMS year/source,General Surgery[128]
index.html:SPECS,General Surgery,12036,,"Intermediate repair, scalp/trunk/extremities, 20.1-30.0 cm",4.86,4.12,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 4.12 and stamp CMS year/source,General Surgery[129]
index.html:SPECS,General Surgery,12037,,"Intermediate repair, scalp/trunk/extremities, >30.0 cm",5.62,4.88,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 4.88 and stamp CMS year/source,General Surgery[130]
index.html:SPECS,General Surgery,12041,,"Intermediate repair, neck/hands/feet/genitalia, 2.5 cm or less",2.93,2.05,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.05 and stamp CMS year/source,General Surgery[131]
index.html:SPECS,General Surgery,12042,,"Intermediate repair, neck/hands/feet/genitalia, 2.6-7.5 cm",3.09,2.72,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.72 and stamp CMS year/source,General Surgery[132]
index.html:SPECS,General Surgery,12044,,"Intermediate repair, neck/hands/feet/genitalia, 7.6-12.5 cm",3.5,3.11,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.11 and stamp CMS year/source,General Surgery[133]
index.html:SPECS,General Surgery,12045,,"Intermediate repair, neck/hands/feet/genitalia, 12.6-20.0 cm",4.2,3.66,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.66 and stamp CMS year/source,General Surgery[134]
index.html:SPECS,General Surgery,12046,,"Intermediate repair, neck/hands/feet/genitalia, 20.1-30.0 cm",4.88,4.19,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 4.19 and stamp CMS year/source,General Surgery[135]
