cpt_code,current_descriptor,current_work_rvu,current_total_rvu,current_payment_estimate,current_source_label,cms_rvu26c_present,cms_alternate_file_present,authoritative_source_identified,likely_source,recommended_disposition,estimated_remediation_effort,site_specialty,first_commit,first_commit_date,first_commit_message
65470,Fistulectomy of cornea,4.2,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
65471,Fistulectomy of sclera,4.6,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
65472,Treatment of recurrent corneal erosion by laser,3.2,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
65473,Corneal relaxing incision for refractive correction,3.3,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
65474,Phototherapeutic keratectomy,4.8,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
65480,Destruction of lesion of sclera,2.5,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
65485,Translation or repositioning of corneal transplant,5.5,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
65490,"Removal of implanted material, anterior segment",4,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
65491,"Removal of implanted material, posterior segment",6.6,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
65897,Aqueous drainage device revision without extraocular reservoir,6.3,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
69605,"Mastoidectomy, complete, modified radical",14,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ent,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing)
72010,"XR spine, entire survey",0.75,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,radiology,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627"
73500,Radiologic examination hip unilateral with pelvis when performed 1 view,0.22,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,radiology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
76001,Fluoroscopy physician or other qualified health care professional time more than 1 hour,2.34,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,radiology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
76101,Radiologic examination complex motion body section other than with urography,0.78,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,radiology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
76102,Radiologic examination complex motion body section other than with urography each additional section,0.34,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,radiology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
77385,Intensity modulated radiation treatment delivery; simple,0.85,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,radiation_oncology,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627"
77386,Intensity modulated radiation treatment delivery; complex,1.25,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,radiation_oncology,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627"
77401,"Radiation treatment delivery, superficial and/or ortho voltage",0.2,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,radiation_oncology,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627"
94250,Expired gas collection quantitative single procedure,0.23,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pulmonology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
94400,Breathing response to CO2,0.89,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pulmonology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
94620,Pulmonary stress testing (cardiopulmonary exercise),1.42,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pulmonology,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul
94662,Continuous negative pressure ventilation CNP initiation and management,1.34,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pulmonology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
94720,Carbon monoxide diffusing capacity DLCO,0.56,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pulmonology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
94750,Pulmonary compliance study lung or thorax,0.89,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pulmonology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
94770,Carbon dioxide expired gas determination by infrared analyzer,0.23,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pulmonology,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
